character,line
Deke,"Where are you going, man? Mack!"
Mack,I just need some air.
Deke,"Mack! Is someone gonna go after him? Really? Fine, I'll do it."
May,"Deke. I don't think he's in the mood for company, - especially wh..."
Deke,I've been through this. He needs to know that we're there for him. We'll be back in a few minutes.
May,Mack's still not back.
Simmons,Hopefully Deke didn't have trouble finding him.
May,Is it supposed to do that?
Enoch,Unknown. It may have sustained heavier damage than we previously...
Simmons,Get back!
Enoch,"Oh, dear."
Simmons,"Oh, no, no. Deke, where are you?!"
Deke,"Hey, I said I would check on Mack. Believe it or not, I get what he's going through."
Simmons,"No, where are you? The Zephyr's leaving. Both of you get back now. The drive's deteriorating. We're... We're about to jump. How much time did we lose?"
Enoch,"According to satellite telemetry, we've jumped approximately 481 days."
Simmons,Deke and Mack...they've been alone that whole time.
May,Start the search. Now.
May,"Mack, where are you? Deke? Mack, are you there? Mack, do you read? Come in."
Elena,Nothing. There's only so much ground I can cover. 30 seconds. Let me go back out there. I'll stay behind.
May,"No, you'll be stranded, too."
Simmons,"I need another data point, but there may be a pattern to these jumps."
May,Why are we jumping at all? The Chronicoms are gone.
Simmons,The damage from the missile must've triggered a spontaneous power surge.
May,This isn't Fitz?
Simmons,No. We're jumping to the same latitude and longitude. Fitz always placed us in specific locations.
Elena,How much time? How much?
Simmons,It's September.
Elena,You've got your pattern now? ‘Cause I'm going either way. I've lost Mack for years.
Simmons,You have 27 days until it's time to rendezvous back with the Zephyr. And I'll be...
May,Standing right here.
Simmons,"That's the theory, anyway. Good luck."
Sousa,"You worried about losing them, too?"
Simmons,Not really. I have faith... in mathematics.
Simmons,"Welcome back, everyone."
Mack,"So, what's wrong?"
Simmons,"So, this is what we're dealing with. We've lost control of... of the time drive. At this rate, the Zephyr will collapse into a space-time singularity in two days. Or, relatively speaking, minutes."
Sousa,"Wait. Come again, now?"
Simmons,Think of it like a stone skipping along the surface of a pond. The jumps... and the time we spend in any given time period... are getting exponentially shorter. If they keep getting smaller...
Mack,We sink.
Simmons,"Metaphorically, yes. For us, that means a jump within a jump, which leads to... Honestly, I have no idea."
Sousa,"Finally, the scientist from the future and I are on the same page."
Deke,But can't we just disconnect the fuel cell regulator?
Enoch,"We would if we could reach it. The field is cycling at a rate of 49 pulses per second, and it appears to disintegrate anything it touches."
Sousa,So we need to find a way to slow down those pulses.
May,Or move fast enough to go between them.
Elena,"The drive's not the only thing that's broken. If that Shrike hadn't taken away my powers, then maybe..."
Sousa,"Wait, what can you do?"
May,"Simmons, do you have any other theories as to what happened to Yo-Yo?"
Simmons,"I wish I did, but I just don't know enough about Inhuman biology to..."
Daisy,My mom does.
Sousa,"Daisy, you should be resting."
Daisy,"I'm okay. 1983, right? Jiaying is at Afterlife. If anyone knows how to cure Inhuman powers, it's her."
Elena,Can we get there in time?
Simmons,"Well, you could make it if you leave before the next jump."
Mack,"Okay. May, you've been to Afterlife before. Prep the Quinjet, but do not leave until I give the order."
May,"Well, I need coordinates and a countdown here. All right? I'm not doing time math."
Mack,I don't have to list the implications for you. So let's talk this through before we pull the trigger.
Mack,Can you reboot him?
Simmons,"Yeah, but..."
Mack,Do it.
Coulson,Couldn't wait till I was all here?
Daisy,Things are pretty dire right now. Mack wants you to weigh in.
Coulson,Good thing you built my head before my legs.
Mack,"The Time Drive is malfunctioning. We can try to fix it, but our best chance..."
Coulson,Disturbs the timeline? Just a guess.
Mack,"We make a wrong move, it could mess things up in the worst way yet."
Coulson,Worse than losing your parents?
Mack,The difference is... at least I'd already been born.
Elena,"This plan's pretty thin, May."
May,"I'd rather have a thin plan than live through the ‘80s again. Enoch, you have the course heading for Afterlife locked in?"
Enoch,Yes. We will continue on that vector so we can rendezvous in the air when your mission is completed.
Elena,If the stone doesn't sink first.
Mack,The mission's a go.
May,"Copy that. Yo-Yo, good luck. You got this."
Elena,Thanks. I'll see you in a few minutes.
May,Sit down. I can feel you worrying from here.
Elena,You can? I thought you needed to touch someone to do that. When did this start?
May,"While we were in the Lighthouse. I was starting to feel more like myself, and then, um... I picked up on you and Mack's, um... reunion from outside the room."
Elena,"May, that's horrible."
May,"Well, it wasn't all bad."
Elena,And invasive. You feeling what I'm feeling is just gonna stress the both of us out even more.
May,A negative emotion feedback loop. I'm well aware.
Elena,"Could be useful with Daisy's mom, though. Wasn't she a murderer?"
May,Only after Hydra cut her to pieces and left her for dead.
Elena,"Still, can't hurt to stay on her good side."
May,"Yeah. We should land cloaked and approach on foot. The last time Jiaying saw a Quinjet, she started a war."
Elena,We never came up with a cover story.
May,"Well, just try to keep it simple, tell part of the truth."
Elena,An alien bird flew into my mouth in the future.
May,Maybe not that part.
Li,"Kora! Kora, stop! You can't outrun Gordon!"
Kora,Please. Don't bring me back there.
Li,Take her home.
Gordan,What about them?
Li,Who the hell are you?
Elena,We're here to see Jiaying. I need to...
Li,Secure them.
Kora,You shouldn't have come here.
Jiaying,How did you know my name?
Elena,I was told to find you. My name is Elena. I'm an Inhuman. I need your help.
Jiaying,You're an Inhuman? How?
Elena,You're not the only ones with Terrigen crystals.
Li,"If you have a gift, show us."
Elena,That's the problem. I used to be fast. I could run long distances in a single heartbeat. But I was poisoned. And now I just... I freeze in place.
Li,"How convenient. Maybe after a few days here, you'll stop lying."
May,[Speaking Chinese]
Jiaying,[Speaking Chinese]
May,[Speaking Chinese]
Jiaying,[Speaking Chinese]
Li,This is a Diviner. Humans die if they touch it. But Inhum...
Elena,Oh. It's a prosthetic.
Jiaying,"It's settled, then. We'll do what we can for you."
Li,You're really gonna help them? These intruders?
Jiaying,"I know it's your job to worry about everything, but you need to calm down."
Li,We're leaving ourselves exposed. They're a danger to us.
Jiaying,"Something took away her gift. If that's really possible, then I need to know how. The safety of our people depends on it."
Li,Fine. Learn what you can. But you have to realize that when you're done... they can't be allowed to leave.
Jiaying,"Are we hurting you, Elena?"
Elena,No. I'm just not sure how stabbing me with needles is gonna help me run fast again.
Jiaying,It's just one part of the puzzle. This will help break down any poison in your body.
Elena,"This all is a bit out of my comfort zone, but I'll try anything."
Jiaying,We'll do what we can. Though it would help to know exactly what this poison was.
Elena,"I don't know where it came from, but... it killed a close friend of mine."
Jiaying,The blood and tissue samples we took should help identify it. Then we can really understand how it affects your Inhuman biology.
Elena,"I know you didn't have to help me, so thank you."
Jiaying,We look out for our community.
May,"Don't get too bent out of shape. Once we cure Elena, we'll forget we ever found this place."
Li,I decide when you leave. Not you.
May,Do you keep a lot of prisoners here? Like that woman we saw running away from you?
Li,She's none of your concern.
May,Why? What did you do to her?
Li,I was curious to see if your friend made any progress. Seems not.
Jiaying,"I can handle things from here, Li."
May,You're supposed to rest. Relax.
Elena,We need to get to the Zephyr. I'm not getting anywhere with these spa treatments.
May,Do you think they even want you to get your powers back?
Elena,"What, did you read something off of the guy with the knives?"
May,"Yeah. Disdain, rage, animosity..."
Elena,Are you sure that wasn't me?
Kora,Let go of me!
Li,Take Kora back to her room.
Jiaying,Sorry we disturbed you.
Elena,Is she okay?
Jiaying,"Kora will be fine. She just needs her rest. As do you, Elena. I have a theory about your symptoms. Some final test results that come in the morning should confirm it. Have a good night."
Elena,If she doesn't hand over some sort of magic pill by the morning...
May,"Yeah, we're out of here. Whatever that was, it's not our fight."
Mack,"Okay, we got about 10 minutes to troubleshoot before Z1 jumps into oblivion. Deke, where are you on Plan B?"
Deke,Okay. We should be able to cut the power to the Time Drive now. Stand back. There's gonna be a big surge of electricity. Electricity's dangerous.
Sousa,Do I look like a Neanderthal to you?
Enoch,I spent time with a tribe of Neanderthals. Agent Sousa does not resemble one. He lacks the characteristic brow ridges.
Sousa,"Can we just push the button, please?"
Mack,Come on. Work.
Sousa,How ‘bout I jump to Plan C and get us ready to abandon ship?
Deke,"Nana, it's not looking so good."
Simmons,If only we had more...
Jiaying,I hope you got some sleep.
May,One of us did.
Elena,What did the tests say? Was your theory correct?
Jiaying,"Yes. We did a thorough search for any contaminants, foreign particles, pathogens. Nothing came up. I'm sorry, Elena, but your problem isn't physical. It's in your mind."
Elena,"So, that's it? That's your theory? I'm not making this up. This is real."
Jiaying,The fact that it's psychological doesn't make it any less real.
Elena,We should go. She can't help me.
Jiaying,There may be another way. Can you feel her anxiety spiking?
May,"Yeah, but how..."
Jiaying,You're not the first person I've met with an empathic gift.
May,But I'm not Inhuman.
Jiaying,"What you can do is still remarkable. In fact, this gift may be the key to helping Elena. You could guide her on an exploration of her emotional past."
May,"Oh, yeah, no."
Elena,Feelings aren't exactly her thing.
May,They're really not.
Jiaying,"If there's a chance it could work, don't you want to take it?"
May,This is literally my worst nightmare.
Elena,Finally we agree on something.
Jiaying,This will help strengthen the bond between your subconscious and your conscious mind.
May,"Is that whiskey? And if so, I want a lot of it."
Elena,"Herbs and some dirt. But at this point, I'll try anything."
May,Do I have to be this close to her face?
Jiaying,"From what you described, physical contact makes the connection stronger. Now breathe in."
Jiaying,I can see my presence is making you self conscious. I'll let you work it out on your own.
Elena,"Believe it or not, alone is worse."
May,"Yeah, and all I'm feeling from you is embarrassment. If physical contact will help, I have an idea."
Elena,Please tell me we're not gonna spoon.
Elena,That's more like it.
May,Now I want you to try and beat me. Avoid my hits using your power.
Elena,I'm still not sure...
May,"Well, that was something."
Elena,Is pissed off an emotion?
May,"But what stopped you from dodging? Guilt? Fear? 'Cause I felt those, too."
Elena,Okay.
Elena,Ruby.
May,That was a tough call.
Elena,I barely had time to think. I acted on impulse.
May,But did you regret it?
Francisco,"Elena, no."
May,I think we're finally getting somewhere.
Simmons,... time. It's up to Yo-Yo now.
Deke,"Well, she's come through before."
Simmons,We're working as fast as we can.
Coulson,I know.
Simmons,And you... you should really be in the healing chamber. We're moving it to the equipment room to give you more peace and quiet.
Daisy,"Simmons, there's... there's not enough time. You can't save all of us."
Sousa,I'm gonna ready the parachutes.
Simmons,I can try.
Daisy,"We are not in the best shape, are we?"
Coulson,"You know, I was thirsty for a year and a half with no way to... no body, no stomach, no throat."
Daisy,That must have driven you crazy.
Coulson,It did. I'm happy to see you healing. At least it feels like happiness. I wonder how many ones and zeroes it takes to achieve that fuzzy feeling.
Daisy,"Well, yeah, I was lucky. Sousa pulled me out of the wreckage, got us home. I'm glad he's here."
Coulson,"That makes me happy, too."
Sousa,I was a paratrooper during the war. I like to be prepared. You ever jumped out of an airplane before?
Simmons,"Twice. Though I only had a parachute the second time. In the event we do get stuck here, I thought you should have this. I put it together after you came on board. Prosthetics have come a long way since the 1950s."
Sousa,I was unfair to you back in '73.
Simmons,No. We pulled you out of time. You just wanted to go home.
Sousa,Still not an excuse. Guess we're all in the same boat now.
Simmons,"Which reminds me, there's something I have to do."
Sousa,"Agent Simmons, you forgot this."
May,How old were you?
Elena,"10, 11. My dad got mixed up with some bad people, and, uh... I went to stay with my uncle and my cousin Francisco to get away from it. But one of them tracked us down."
Man,[Speaking Spanish]
Oscar,[Speaking Spanish]
Man,[Speaking Spanish]
Elena,[Speaking Spanish]
Francisco,"Elena, no."
Oscar,[Speaking Spanish]
Man,[Speaking Spanish]
Oscar,[Speaking Spanish]
Man,[Speaking Spanish]
Elena,Aah! Oscar!
Francisco,Papa. Papa.
Elena,Uncle. Wake up.
Elena,I should never have taken it. I should've stayed still.
May,"You were a child. Okay, um, you're impulsive, but that's not always a bad thing. I think the point of this ridiculous exercise is to forgive yourself for it."
Li,Jiaying! Jiaying!
Li,Jiaying!
Jiaying,What's wrong?
Li,It's Kora.
LI,"Our visitor, did you find out how her gift was suppressed?"
Jiaying,It doesn't seem to be any kind of substance.
Li,Then it was all for nothing?
Jiaying,We'll find another way.
Li,It's too late. There's only ever been one solution to this problem.
May,What did you do to her?
Jiaying,We didn't do anything. Kora did this herself.
May,How is this possible?
Jiaying,"Ever since she went through the mist, she's been unable to control her gift. Holding in all that energy causes her intense pain."
Li,She's nearly destroyed Afterlife a dozen times.
Jiaying,"That's why we were so eager to help Elena. If there were a way to take away someone's gift, we had to know."
May,So you could take away Kora's.
Jiaying,It's better than the alternative. Not everyone here believes she's worth saving.
Li,"If she's capable of this, she isn't. And now she has his gun. You think she plans to use it for something good?"
Jiaying,"She's afraid of what you'll do to her, Li."
May,No. That's not what she's afraid of.
Nathaniel,"Kora, you don't have to die today."
Kora,Who are you?
Nathaniel,"Nathaniel. And... And you know what? I was actually supposed to die, too."
Kora,"No, I-I... I didn't..."
Nathaniel,"You're just on a walk with your gun, right? No, no, you and me, our... our fates were written in the stars. But I'm here to tell you that I found an escape hatch. Do you wanna come along?"
Kora,How'd you know I was gonna be out here? That I was gonna do that?
Nathaniel,"Fancy trick, right? I-I-I have my new friend Sibyl to thank for that. She's not much of a dancer, but she does have this knack for seeing just how everything's gonna play out. What would you call this place? A commune, a... a cult? Or... Or is it a prison?"
Kora,It's my home.
Nathaniel,Wow. They really did a number on you. They tell you you belong so that they get you to follow their rules. And... And you are above that now. You... You are too powerful for that.
Kora,I'm not powerful. I'm deadly. I can't control my gift.
Nathaniel,Who says you have to? Let it out. There is no feeling like it. My friends and I are about to go make some chaos. I really want you to come with us and never feel trapped again. All you have to do is say yes.
May,Your powers?
Elena,I tried. Still nothing.
May,Then take this. We're under attack. And we're running out of time.
Simmons,Thanks.
Simmons,"Fitz... I don't know if you'll ever get this... but the mission hasn't exactly gone as planned. I'm not sure why we lost contact when I rescued the team from Izel's temple, but... the drive is malfunctioning, and we may have to abandon the Zephyr in 1983. Yo-Yo might be able to fix it, but if not... It won't be easy, but I know we'll find some way to be together again. Time, space... it's never stopped us before. And I won't stop trying. I love you."
Deke,"May and Yo-Yo are gonna be back in a minute, so we're all gathering in Command."
Jiaying,"Gordon! Gordon! Gordon, are you all right?"
Gordon,There's too many of them.
Li,Where did they come from?
Gordon,I don't know. But they're taking people prisoner. What do we do?
May,That can't be Daisy.
Nathaniel,"Well, you've been no help."
Jiaying,"Kora, get away from him!"
Nathaniel,"Jiaying, right? You've put Kora through enough."
Jiaying,Kora... what are you doing?
Kora,I've been holding it in for so long. Trying to be what you wanted... to be something I'm not.
Jiaying,"I only wanted what was best for you, to help you."
Kora,"You turned on me. Like, since that day, there's only fear in your eyes. You don't see anything but a threat. Admit it."
Jiaying,No. I love you. I've always loved you no matter what...
Kora,You were gonna let him put a knife through my heart!
Jiaying,"Never! Sweetheart. Sweetheart, remember when I would read you stories till you fell asleep? What would I always say at the beginning?"
Kora,I'm not a child anymore.
Jiaying,"I'd say, “Some stories have witches and dragons and bad men, and I will always protect you from all of it.”"
Kora,"You didn't protect me. You protected the world from me. Nathaniel's right. This is a prison, and I finally found my way out."
Nathaniel,Thatagirl.
Li,I'm sorry. She's beyond...
Jiaying,"Li, no, stop!"
Jiaying,Kora. Please stop!
May,Come on!
Elena,Get us out of here! Now!
Elena,"Come on, hurry up."
May,You can come with us. But I can't guarantee that it'll be any safer.
Jiaying,I can't leave my people behind to die. My daughter is still out there.
Elena,"She made her choice, but that man with her... Nathaniel... he's our enemy, too. We won't let you fight this battle alone."
May,We'll send coordinates to that watch when we're ready to meet.
Elena,You should find someplace to hide until then.
Gordan,There are a few places we could try.
Jiaying,I'm sorry you didn't find what you were looking for here.
May,Come on. It's gonna be close.
Coulson,Still no sign of the Quinjet.
Mack,"Come on, Yo-Yo."
Daisy,What if she shows up and she... she didn't get her power back?
Simmons,"Then we lose the Zephyr. And with only 46 seconds in the next window, there may not even be time to dock and evacuate."
Enoch,The intervals will only get shorter after that. We are mere moments away from catastrophic failure.
Deke,"Well, that's very comforting. Thank you, Enoch."
Sousa,Parachutes are ready to go.
Mack,Abandon ship.
Elena,Are we even in the right place? I don't see them anywhere.
May,"Give it a minute. We're a jump late, but we should still have enough time to dock with the Zephyr in the next window."
Elena,We should?
May,If I can land us on the first pass.
Elena,We're still gonna lose our time machine because I'm not about to save the day like everyone hoped.
May,"Yo-Yo, it was never all on you. The team could've found another solution in the last two days."
Elena,"May, they've only had 20 minutes."
May,"Oh, damn it. Right."
May,One shot.
Mack,You're late. Yo-Yo. Tell me some good news. Tell me you can get us out of this mess.
Elena,It didn't work.
Mack,Alright. We knew it was a long shot.
Elena,"Mack, I'm so sorry."
Mack,"No, you did what you could. Everyone, get to the Quinjet now."
Mack,"May, be ready to get us out of here."
May,"It's gonna be damn close, but I'll try. It's not your fault."
Elena,It is... if it's all in my head.
May,"Yo-Yo, all this guilt you're feeling, it's not going..."
Elena,I could accept it when it was some alien poison. But now? I'm never gonna get my powers back.
May,You'll bounce back. Always have.
Elena,Maybe I'm not supposed... to.
May,What is it?
Elena,I don't have to bounce back.
Mack,We stopped jumping. You okay?
Elena,Yeah.
Mack,"Wait, you... you didn't bounce back. How'd you do that?"
Elena,I think I've always been able to. I was just holding myself back.
Mack,"Afterlife was the right call, then. I'm glad it worked out."
Elena,"For us, maybe."
Simmons,"Your new body still hasn't fully charged, so you'll need to power down for a few hours. Think of it like a nap."
Coulson,Sure it is. At least let me.
Simmons,Yeah.
Deke,"So, what do you think? Can this thing get us home?"
Enoch,I am guardedly optimistic.
Deke,"Okay, I'll take that. I mean, don't get me wrong, there's a lot of stuff that I'm gonna really miss about the '80s. Hey, do you play the drums, by any chance?"
Enoch,I can keep tempo.
Deke,"Wait, what's happening?"
Enoch,It didn't work.
Nathaniel,"This just feels right, don't you think? You here, them there. Everybody finally knowing their place."
Kora,What are you gonna do to them?
Nathaniel,"Let's call it a redistribution of wealth. Take stabby here...did he ever do anything to deserve that power of his? No. Just following an ancient set of ancient practices. You know, all these rules... who's given a gift, who's given nothing. Who lives, who dies. It's all written in the stars. I feel like we should shake things up. Give the world a little something new."
Kora,And what's that?
Nathaniel,Anarchy.
